Botiga;m2;Ubi;PreuAm2;PreuDm2;AugmentFact
1;387;1;14;13;-17
2;327;3;12;10;3
3;211;3;16;16;-20
4;320;3;14;13;2
5;333;2;14;13;-9
6;409;1;15;13;-18
7;179;1;13;14;6
8;153;3;16;14;-5
9;295;2;14;16;2
10;383;1;16;14;-18
11;315;2;12;11;7
12;350;2;14;14;0
13;102;3;16;14;6
14;189;2;14;12;-20
15;112;2;14;15;7
16;469;2;16;14;10
17;207;1;15;15;1
18;102;1;13;12;-7
19;394;3;13;11;-12
20;386;2;13;11;-9
21;474;2;13;14;0
22;444;1;12;12;2
23;217;2;16;18;4
24;286;2;15;13;-12
25;350;3;16;16;5
26;298;3;14;16;-15
27;137;1;12;14;-9
28;433;1;12;12;2
29;254;2;16;18;22
30;380;1;15;16;28
31;213;2;15;15;4
32;138;3;13;12;17
33;282;3;14;15;0
34;483;1;12;11;-1
35;211;3;13;13;-3
36;479;3;13;12;17
37;218;2;14;16;24
38;443;1;13;15;0
39;222;2;8;7;22
40;169;1;8;7;-4
41;438;1;12;12;29
42;147;1;8;10;4
43;134;3;11;9;16
44;419;1;12;13;9
45;285;2;11;12;5
46;424;1;8;6;19
47;318;3;9;7;3
48;248;3;9;9;-4
49;431;1;8;8;18
50;423;1;13;14;0
51;205;4;10;9;23
52;106;2;13;11;22
53;239;4;11;10;8
54;403;1;13;12;14
55;207;3;10;10;-4
56;166;1;13;12;-5
57;435;1;12;14;15
58;198;4;10;8;5
59;378;5;9;8;7
60;357;4;9;7;12
61;114;5;9;10;1
62;210;4;12;13;19
63;494;3;9;11;23
64;191;1;10;12;25
65;132;2;11;9;15
66;233;1;10;11;-5
67;111;1;9;11;7
68;496;5;9;11;30
69;119;3;12;11;4
70;478;3;9;10;8
71;251;3;8;9;25
72;235;5;8;6;29
73;379;4;9;8;11
74;280;2;12;11;3
75;169;1;9;7;11
76;112;3;11;12;6
77;296;1;9;10;8
78;353;2;9;9;9
79;102;3;11;10;9
80;180;2;12;10;-3
81;342;1;9;8;5
82;125;5;8;9;29
83;495;2;8;6;25
84;252;2;9;7;13
85;235;5;10;8;30
86;265;1;8;10;5
87;121;3;10;11;-2
88;203;2;9;8;3
89;368;2;8;8;28
90;311;5;10;10;18
91;261;1;8;10;10
92;357;5;12;14;13
93;322;4;13;14;16
94;366;4;12;13;14
95;344;5;12;10;22
96;463;5;12;13;13
97;434;5;12;14;14
98;422;5;12;14;10
99;466;4;12;12;2
